word,slice,cluster,distance,sense
bag,c1_syn_bag,base;pocket;dish;bulge;udder;purse;grip,0.8535540447531587;1.4779056352175157;1.8260408274557758;1.8726255747509042;1.9938767604180616;2.039190701868696;2.2294432279498637,3
bag,c1_syn_bag,base;pocket;dish;bulge;udder;purse;grip,0.8535540447531587;1.4779056352175157;1.8260408274557758;1.8726255747509042;1.9938767604180616;2.039190701868696;2.2294432279498637,3
bag,c1_syn_bag,base;pocket;dish;bulge;udder;purse;grip,0.8535540447531587;1.4779056352175157;1.8260408274557758;1.8726255747509042;1.9938767604180616;2.039190701868696;2.2294432279498637,3
bag,c2_syn_bag,base;pocket;purse;suitcase;handbag;udder;grip,0.5132386514451358;0.5582839076717699;0.799453837898909;0.9184184672243043;1.0713348225599475;1.1043137010419746;1.1048203808410715,3
bag,c2_syn_bag,base;pocket;purse;suitcase;handbag;udder;grip,0.5132386514451358;0.5582839076717699;0.799453837898909;0.9184184672243043;1.0713348225599475;1.1043137010419746;1.1048203808410715,3
bag,c2_syn_bag,base;pocket;purse;suitcase;handbag;udder;grip,0.5132386514451358;0.5582839076717699;0.799453837898909;0.9184184672243043;1.0713348225599475;1.1043137010419746;1.1048203808410715,3
